Area	Brand	Age	Device	Region	RGB Count	"Data User count
Monthly usage>100 MB"	 Total Data Usage (GB) 	" Total usage of Data Users with
Monthly usage>100 MB "
Selected	Robi	<=24 yrs	2G Device	Barisal	115	37	 83 	 83 
Selected	Robi	<=24 yrs	3G Device	Barisal	427	315	 841 	 838 
Selected	Robi	<=24 yrs	4G Device	Barisal	219	169	 548 	 547 
Selected	Robi	<=24 yrs	Basic	Barisal	262	92	 141 	 140 
Selected	Robi	<=24 yrs	Others	Barisal	80	39	 54 	 54 
Selected	Robi	25-29 yrs	2G Device	Barisal	159	38	 63 	 62 
Selected	Robi	25-29 yrs	3G Device	Barisal	436	272	 558 	 556 
Selected	Robi	25-29 yrs	4G Device	Barisal	204	143	 579 	 578 
Selected	Robi	25-29 yrs	Basic	Barisal	291	67	 98 	 97 
Selected	Robi	25-29 yrs	Others	Barisal	65	20	 35 	 34 
Selected	Robi	30-34 yrs	2G Device	Barisal	212	27	 40 	 39 
Selected	Robi	30-34 yrs	3G Device	Barisal	433	225	 604 	 601 
Selected	Robi	30-34 yrs	4G Device	Barisal	181	122	 425 	 424 
Selected	Robi	30-34 yrs	Basic	Barisal	397	56	 83 	 81 
Selected	Robi	30-34 yrs	Others	Barisal	91	22	 29 	 29 
Selected	Robi	35-39 yrs	2G Device	Barisal	229	39	 58 	 57 
Selected	Robi	35-39 yrs	3G Device	Barisal	424	194	 353 	 351 
Selected	Robi	35-39 yrs	4G Device	Barisal	175	126	 397 	 397 
Selected	Robi	35-39 yrs	Basic	Barisal	396	64	 107 	 106 
Selected	Robi	35-39 yrs	Others	Barisal	90	25	 36 	 36 
Selected	Robi	40-44 yrs	2G Device	Barisal	171	34	 73 	 72 
Selected	Robi	40-44 yrs	3G Device	Barisal	341	166	 383 	 381 
Selected	Robi	40-44 yrs	4G Device	Barisal	145	99	 449 	 448 
Selected	Robi	40-44 yrs	Basic	Barisal	332	55	 96 	 95 
Selected	Robi	40-44 yrs	Others	Barisal	77	17	 46 	 46 
Selected	Robi	45-59 yrs	2G Device	Barisal	356	51	 103 	 101 
Selected	Robi	45-59 yrs	3G Device	Barisal	589	325	 716 	 712 
Selected	Robi	45-59 yrs	4G Device	Barisal	272	190	 729 	 727 
Selected	Robi	45-59 yrs	Basic	Barisal	518	91	 150 	 148 
Selected	Robi	45-59 yrs	Others	Barisal	121	26	 47 	 47 
Selected	Robi	60+ yrs	2G Device	Barisal	97	12	 20 	 20 
Selected	Robi	60+ yrs	3G Device	Barisal	129	66	 144 	 143 
Selected	Robi	60+ yrs	4G Device	Barisal	57	37	 154 	 153 
Selected	Robi	60+ yrs	Basic	Barisal	139	20	 27 	 27 
Selected	Robi	60+ yrs	Others	Barisal	27	7	 21 	 21 
Selected	Robi	OTHERS	2G Device	Barisal	0	0	 -   	
Selected	Robi	OTHERS	3G Device	Barisal	2	0	 -   	
Selected	Robi	OTHERS	4G Device	Barisal	0	0	 -   	
Selected	Robi	OTHERS	Basic	Barisal	1	0	 -   	
Selected	Robi	OTHERS	Others	Barisal	2	0	 -   	
Selected	Robi	<=24 yrs	2G Device	Brahmanbaria 	 281.00 	 79.00 	 211 	 209 
Selected	Robi	<=24 yrs	3G Device	Brahmanbaria 	730	483	" 1,051 "	" 1,049 "
Selected	Robi	<=24 yrs	4G Device	Brahmanbaria 	 382.00 	 292 	 964 	 962 
Selected	Robi	<=24 yrs	Basic	Brahmanbaria 	578	134	 229 	 227 
Selected	Robi	<=24 yrs	Others	Brahmanbaria 	 82.00 	 29.00 	 22 	 22 
